날짜,시간,온도,습도
2022-12-24,00:04:17,-4.19,70.30
2022-12-24,00:09:18,-4.29,72.20
2022-12-24,00:14:18,-4.19,71.90
2022-12-24,00:19:18,-4.29,70.60
2022-12-24,00:24:19,-4.09,72.80
2022-12-24,00:29:19,-3.79,73.30
2022-12-24,00:34:20,-3.79,72.80
2022-12-24,00:39:20,-3.69,73.00
2022-12-24,00:44:20,-3.69,72.60
2022-12-24,00:49:21,-3.89,71.70
2022-12-24,00:54:21,-3.99,72.40
2022-12-24,00:59:21,-3.89,72.70
2022-12-24,01:04:22,-3.89,72.00
2022-12-24,01:09:22,-3.99,72.40
2022-12-24,01:14:22,-3.99,71.80
2022-12-24,01:19:23,-4.19,72.20
2022-12-24,01:24:23,-4.29,71.40
2022-12-24,01:29:23,-4.29,71.90
2022-12-24,01:34:23,-4.39,70.60
2022-12-24,01:39:24,-4.29,72.80
2022-12-24,01:44:24,-4.59,71.00
2022-12-24,01:49:25,-4.59,71.70
2022-12-24,01:54:25,-4.49,72.70
2022-12-24,01:59:26,-4.59,70.90
2022-12-24,02:04:26,-4.79,72.00
2022-12-24,02:09:26,-4.79,72.10
2022-12-24,02:14:27,-4.79,72.20
2022-12-24,02:19:27,-4.69,72.40
2022-12-24,02:24:28,-4.69,71.30
2022-12-24,02:29:28,-4.69,71.60
2022-12-24,02:34:28,-4.89,71.10
2022-12-24,02:39:29,-4.89,71.10
2022-12-24,02:44:29,-4.79,73.30
2022-12-24,02:49:30,-4.69,71.70
2022-12-24,02:54:30,-4.59,74.30
2022-12-24,02:59:31,-4.29,74.10
2022-12-24,03:04:31,-4.09,75.10
2022-12-24,03:09:32,-3.89,75.20
2022-12-24,03:14:32,-3.69,75.20
2022-12-24,03:19:32,-3.69,75.20
2022-12-24,03:24:33,-3.79,74.90
2022-12-24,03:29:33,-3.79,74.80
2022-12-24,03:34:34,-3.79,74.60
2022-12-24,03:39:34,-3.79,74.70
2022-12-24,03:44:35,-3.89,74.80
2022-12-24,03:49:35,-3.89,74.90
2022-12-24,03:54:36,-3.79,74.80
2022-12-24,03:59:36,-3.69,74.80
2022-12-24,04:04:37,-3.79,75.20
2022-12-24,04:09:37,-3.79,75.50
2022-12-24,04:14:37,-3.69,75.30
2022-12-24,04:19:38,-3.59,75.30
2022-12-24,04:24:38,-3.59,75.70
2022-12-24,04:29:39,-3.49,75.90
2022-12-24,04:34:39,-3.49,76.10
2022-12-24,04:39:39,-3.49,76.40
2022-12-24,04:44:40,-3.49,76.30
2022-12-24,04:49:40,-3.59,76.50
2022-12-24,04:54:40,-3.79,76.00
2022-12-24,04:59:41,-3.89,75.60
2022-12-24,05:04:41,-3.89,75.20
2022-12-24,05:09:42,-3.99,75.80
2022-12-24,05:14:42,-3.99,75.40
2022-12-24,05:19:43,-3.99,75.70
2022-12-24,05:24:43,-4.09,75.00
2022-12-24,05:29:43,-4.09,75.60
2022-12-24,05:34:44,-4.09,75.70
2022-12-24,05:39:44,-3.99,75.80
2022-12-24,05:44:45,-3.99,75.70
2022-12-24,05:49:45,-4.09,75.60
2022-12-24,05:54:45,-4.09,75.70
2022-12-24,05:59:46,-4.09,75.80
2022-12-24,06:04:46,-4.09,75.20
2022-12-24,06:09:46,-4.39,76.00
2022-12-24,06:14:47,-4.09,76.10
2022-12-24,06:19:47,-3.99,76.40
2022-12-24,06:24:47,-3.99,76.50
2022-12-24,06:29:48,-3.99,76.50
2022-12-24,06:34:48,-4.09,76.40
2022-12-24,06:39:48,-4.29,75.50
2022-12-24,06:44:49,-4.49,75.70
2022-12-24,06:49:49,-4.39,75.90
2022-12-24,06:54:50,-4.29,76.30
