Date time,EVENT
2024-09-08 오전 12:00:10,EV_Fiber13번,Connecting
2024-09-08 오전 12:00:10,TRY,Reconnection
2024-09-08 오전 12:00:10,EV_Vibe13번,Opened
2024-09-08 오전 12:00:22,EV_Fiber13번,Connecting
2024-09-08 오전 12:00:22,TRY,Reconnection
2024-09-08 오전 12:00:22,EV_Vibe13번,Opened
2024-09-08 오전 12:00:34,EV_Fiber13번,Connecting
2024-09-08 오전 12:00:34,TRY,Reconnection
2024-09-08 오전 12:00:34,EV_Vibe13번,Opened
2024-09-08 오전 12:00:46,EV_Fiber13번,Connecting
2024-09-08 오전 12:00:46,TRY,Reconnection
2024-09-08 오전 12:00:46,EV_Vibe13번,Opened
2024-09-08 오전 12:00:58,EV_Fiber13번,Connecting
2024-09-08 오전 12:00:58,TRY,Reconnection
2024-09-08 오전 12:00:58,EV_Vibe13번,Opened
2024-09-08 오전 12:01:10,EV_Fiber13번,Connecting
2024-09-08 오전 12:01:10,TRY,Reconnection
2024-09-08 오전 12:01:10,EV_Vibe13번,Opened
2024-09-08 오전 12:01:30,EV_Fiber13번,Connecting
2024-09-08 오전 12:01:30,TRY,Reconnection
2024-09-08 오전 12:01:30,EV_Vibe13번,Opened
2024-09-08 오전 12:01:42,EV_Fiber13번,Connecting
2024-09-08 오전 12:01:42,TRY,Reconnection
2024-09-08 오전 12:01:42,EV_Vibe13번,Opened
2024-09-08 오전 12:01:54,EV_Fiber13번,Connecting
2024-09-08 오전 12:01:54,TRY,Reconnection
2024-09-08 오전 12:01:54,EV_Vibe13번,Opened
2024-09-08 오전 12:02:06,EV_Fiber13번,Connecting
2024-09-08 오전 12:02:06,TRY,Reconnection
2024-09-08 오전 12:02:06,EV_Vibe13번,Opened
2024-09-08 오전 12:02:18,EV_Fiber13번,Connecting
2024-09-08 오전 12:02:18,TRY,Reconnection
2024-09-08 오전 12:02:18,EV_Vibe13번,Opened
2024-09-08 오전 12:02:30,EV_Fiber13번,Connecting
2024-09-08 오전 12:02:30,TRY,Reconnection
2024-09-08 오전 12:02:30,EV_Vibe13번,Opened
2024-09-08 오전 12:02:42,EV_Fiber13번,Connecting
2024-09-08 오전 12:02:42,TRY,Reconnection
2024-09-08 오전 12:02:42,EV_Vibe13번,Opened
2024-09-08 오전 12:03:02,EV_Fiber13번,Connecting
2024-09-08 오전 12:03:02,TRY,Reconnection
2024-09-08 오전 12:03:02,EV_Vibe13번,Opened
2024-09-08 오전 12:03:14,EV_Fiber13번,Connecting
2024-09-08 오전 12:03:14,TRY,Reconnection
2024-09-08 오전 12:03:14,EV_Vibe13번,Opened
2024-09-08 오전 12:03:26,EV_Fiber13번,Connecting
2024-09-08 오전 12:03:26,TRY,Reconnection
2024-09-08 오전 12:03:26,EV_Vibe13번,Opened
2024-09-08 오전 12:03:38,EV_Fiber13번,Connecting
2024-09-08 오전 12:03:38,TRY,Reconnection
2024-09-08 오전 12:03:38,EV_Vibe13번,Opened
2024-09-08 오전 12:03:50,EV_Fiber13번,Connecting
2024-09-08 오전 12:03:50,TRY,Reconnection
2024-09-08 오전 12:03:50,EV_Vibe13번,Opened
2024-09-08 오전 12:04:02,EV_Fiber13번,Connecting
2024-09-08 오전 12:04:02,TRY,Reconnection
2024-09-08 오전 12:04:02,EV_Vibe13번,Opened
2024-09-08 오전 12:04:14,EV_Fiber13번,Connecting
2024-09-08 오전 12:04:14,TRY,Reconnection
2024-09-08 오전 12:04:14,EV_Vibe13번,Opened
2024-09-08 오전 12:04:26,EV_Fiber13번,Connecting
2024-09-08 오전 12:04:26,TRY,Reconnection
2024-09-08 오전 12:04:26,EV_Vibe13번,Opened
2024-09-08 오전 12:04:38,EV_Fiber13번,Connecting
2024-09-08 오전 12:04:38,TRY,Reconnection
2024-09-08 오전 12:04:38,EV_Vibe13번,Opened
2024-09-08 오전 12:05:00,EV_Fiber13번,Connecting
2024-09-08 오전 12:05:00,TRY,Reconnection
2024-09-08 오전 12:05:00,EV_Vibe13번,Opened
2024-09-08 오전 12:05:12,EV_Fiber13번,Connecting
2024-09-08 오전 12:05:12,TRY,Reconnection
2024-09-08 오전 12:05:12,EV_Vibe13번,Opened
2024-09-08 오전 12:05:24,EV_Fiber13번,Connecting
2024-09-08 오전 12:05:24,TRY,Reconnection
2024-09-08 오전 12:05:24,EV_Vibe13번,Opened
2024-09-08 오전 12:05:36,EV_Fiber13번,Connecting
2024-09-08 오전 12:05:36,TRY,Reconnection
2024-09-08 오전 12:05:36,EV_Vibe13번,Opened
2024-09-08 오전 12:06:06,EV_Fiber13번,Connecting
2024-09-08 오전 12:06:06,TRY,Reconnection
2024-09-08 오전 12:06:06,EV_Vibe13번,Opened
2024-09-08 오전 12:06:18,EV_Fiber13번,Connecting
2024-09-08 오전 12:06:18,TRY,Reconnection
2024-09-08 오전 12:06:18,EV_Vibe13번,Opened
2024-09-08 오전 12:06:30,EV_Fiber13번,Connecting
2024-09-08 오전 12:06:30,TRY,Reconnection
2024-09-08 오전 12:06:30,EV_Vibe13번,Opened
2024-09-08 오전 12:06:42,EV_Fiber13번,Connecting
2024-09-08 오전 12:06:42,TRY,Reconnection
2024-09-08 오전 12:06:42,EV_Vibe13번,Opened
2024-09-08 오전 12:06:54,EV_Fiber13번,Connecting
2024-09-08 오전 12:06:54,TRY,Reconnection
2024-09-08 오전 12:06:54,EV_Vibe13번,Opened
2024-09-08 오전 12:07:06,EV_Fiber13번,Connecting
2024-09-08 오전 12:07:06,TRY,Reconnection
2024-09-08 오전 12:07:06,EV_Vibe13번,Opened
2024-09-08 오전 12:07:20,EV_Fiber13번,Connecting
2024-09-08 오전 12:07:20,TRY,Reconnection
2024-09-08 오전 12:07:21,EV_Vibe13번,Opened
2024-09-08 오전 12:07:30,EV_Fiber13번,Connecting
2024-09-08 오전 12:07:30,TRY,Reconnection
2024-09-08 오전 12:07:30,EV_Vibe13번,Opened
2024-09-08 오전 12:07:44,EV_Fiber13번,Connecting
2024-09-08 오전 12:07:44,TRY,Reconnection
2024-09-08 오전 12:07:44,EV_Vibe13번,Opened
2024-09-08 오전 12:07:56,EV_Fiber13번,Connecting
2024-09-08 오전 12:07:56,TRY,Reconnection
2024-09-08 오전 12:07:56,EV_Vibe13번,Opened
2024-09-08 오전 12:08:08,EV_Fiber13번,Connecting
2024-09-08 오전 12:08:08,TRY,Reconnection
2024-09-08 오전 12:08:08,EV_Vibe13번,Opened
2024-09-08 오전 12:08:20,EV_Fiber13번,Connecting
2024-09-08 오전 12:08:20,TRY,Reconnection
2024-09-08 오전 12:08:20,EV_Vibe13번,Opened
2024-09-08 오전 12:08:32,EV_Fiber13번,Connecting
2024-09-08 오전 12:08:32,TRY,Reconnection
2024-09-08 오전 12:08:32,EV_Vibe13번,Opened
2024-09-08 오전 12:08:44,EV_Fiber13번,Connecting
2024-09-08 오전 12:08:44,TRY,Reconnection
2024-09-08 오전 12:08:44,EV_Vibe13번,Opened
2024-09-08 오전 12:08:56,EV_Fiber13번,Connecting
2024-09-08 오전 12:08:56,TRY,Reconnection
2024-09-08 오전 12:08:56,EV_Vibe13번,Opened
2024-09-08 오전 12:09:08,EV_Fiber13번,Connecting
2024-09-08 오전 12:09:08,TRY,Reconnection
2024-09-08 오전 12:09:08,EV_Vibe13번,Opened
2024-09-08 오전 12:09:20,EV_Fiber13번,Connecting
2024-09-08 오전 12:09:20,TRY,Reconnection
2024-09-08 오전 12:09:20,EV_Vibe13번,Opened
2024-09-08 오전 12:09:32,EV_Fiber13번,Connecting
2024-09-08 오전 12:09:32,TRY,Reconnection
2024-09-08 오전 12:09:32,EV_Vibe13번,Opened
2024-09-08 오전 12:09:44,EV_Fiber13번,Connecting
2024-09-08 오전 12:09:44,TRY,Reconnection
2024-09-08 오전 12:09:44,EV_Vibe13번,Opened
2024-09-08 오전 12:09:56,EV_Fiber13번,Connecting
2024-09-08 오전 12:09:56,TRY,Reconnection
2024-09-08 오전 12:09:56,EV_Vibe13번,Opened
2024-09-08 오전 12:10:28,EV_Fiber13번,Connecting
2024-09-08 오전 12:10:28,TRY,Reconnection
2024-09-08 오전 12:10:28,EV_Vibe13번,Opened
2024-09-08 오전 12:10:40,EV_Fiber13번,Connecting
2024-09-08 오전 12:10:40,TRY,Reconnection
2024-09-08 오전 12:10:40,EV_Vibe13번,Opened
2024-09-08 오전 12:10:52,EV_Fiber13번,Connecting
2024-09-08 오전 12:10:52,TRY,Reconnection
2024-09-08 오전 12:10:52,EV_Vibe13번,Opened
2024-09-08 오전 12:11:04,EV_Fiber13번,Connecting
2024-09-08 오전 12:11:04,TRY,Reconnection
2024-09-08 오전 12:11:04,EV_Vibe13번,Opened
2024-09-08 오전 12:11:16,EV_Fiber13번,Connecting
2024-09-08 오전 12:11:16,TRY,Reconnection
2024-09-08 오전 12:11:16,EV_Vibe13번,Opened
2024-09-08 오전 12:11:28,EV_Fiber13번,Connecting
2024-09-08 오전 12:11:28,TRY,Reconnection
2024-09-08 오전 12:11:28,EV_Vibe13번,Opened
2024-09-08 오전 12:11:40,EV_Fiber13번,Connecting
2024-09-08 오전 12:11:40,TRY,Reconnection
2024-09-08 오전 12:11:40,EV_Vibe13번,Opened
2024-09-08 오전 12:11:52,EV_Fiber13번,Connecting
2024-09-08 오전 12:11:52,TRY,Reconnection
2024-09-08 오전 12:11:52,EV_Vibe13번,Opened
2024-09-08 오전 12:12:04,EV_Fiber13번,Connecting
2024-09-08 오전 12:12:04,TRY,Reconnection
2024-09-08 오전 12:12:04,EV_Vibe13번,Opened
2024-09-08 오전 12:12:16,EV_Fiber13번,Connecting
2024-09-08 오전 12:12:16,TRY,Reconnection
2024-09-08 오전 12:12:16,EV_Vibe13번,Opened
2024-09-08 오전 12:12:28,EV_Fiber13번,Connecting
2024-09-08 오전 12:12:28,TRY,Reconnection
2024-09-08 오전 12:12:28,EV_Vibe13번,Opened
2024-09-08 오전 12:12:40,EV_Fiber13번,Connecting
2024-09-08 오전 12:12:40,TRY,Reconnection
2024-09-08 오전 12:12:40,EV_Vibe13번,Opened
2024-09-08 오전 12:12:52,EV_Fiber13번,Connecting
2024-09-08 오전 12:12:52,TRY,Reconnection
2024-09-08 오전 12:12:52,EV_Vibe13번,Opened
2024-09-08 오전 12:13:04,EV_Fiber13번,Connecting
2024-09-08 오전 12:13:04,TRY,Reconnection
2024-09-08 오전 12:13:04,EV_Vibe13번,Opened
2024-09-08 오전 12:13:16,EV_Fiber13번,Connecting
2024-09-08 오전 12:13:16,TRY,Reconnection
2024-09-08 오전 12:13:16,EV_Vibe13번,Opened
2024-09-08 오전 12:13:28,EV_Fiber13번,Connecting
2024-09-08 오전 12:13:28,TRY,Reconnection
2024-09-08 오전 12:13:28,EV_Vibe13번,Opened
2024-09-08 오전 12:13:40,EV_Fiber13번,Connecting
2024-09-08 오전 12:13:40,TRY,Reconnection
2024-09-08 오전 12:13:40,EV_Vibe13번,Opened
2024-09-08 오전 12:13:52,EV_Fiber13번,Connecting
2024-09-08 오전 12:13:52,TRY,Reconnection
2024-09-08 오전 12:13:52,EV_Vibe13번,Opened
2024-09-08 오전 12:14:04,EV_Fiber13번,Connecting
2024-09-08 오전 12:14:04,TRY,Reconnection
2024-09-08 오전 12:14:04,EV_Vibe13번,Opened
2024-09-08 오전 12:14:16,EV_Fiber13번,Connecting
2024-09-08 오전 12:14:16,TRY,Reconnection
2024-09-08 오전 12:14:16,EV_Vibe13번,Opened
2024-09-08 오전 12:14:28,EV_Fiber13번,Connecting
2024-09-08 오전 12:14:28,TRY,Reconnection
2024-09-08 오전 12:14:28,EV_Vibe13번,Opened
2024-09-08 오전 12:14:40,EV_Fiber13번,Connecting
2024-09-08 오전 12:14:40,TRY,Reconnection
2024-09-08 오전 12:14:40,EV_Vibe13번,Opened
2024-09-08 오전 12:14:52,EV_Fiber13번,Connecting
2024-09-08 오전 12:14:52,TRY,Reconnection
2024-09-08 오전 12:14:52,EV_Vibe13번,Opened
2024-09-08 오전 12:15:04,EV_Fiber13번,Connecting
2024-09-08 오전 12:15:04,TRY,Reconnection
2024-09-08 오전 12:15:04,EV_Vibe13번,Opened
2024-09-08 오전 12:15:16,EV_Fiber13번,Connecting
2024-09-08 오전 12:15:16,TRY,Reconnection
2024-09-08 오전 12:15:16,EV_Vibe13번,Opened
2024-09-08 오전 12:15:28,EV_Fiber13번,Connecting
2024-09-08 오전 12:15:28,TRY,Reconnection
2024-09-08 오전 12:15:28,EV_Vibe13번,Opened
2024-09-08 오전 12:15:40,EV_Fiber13번,Connecting
2024-09-08 오전 12:15:40,TRY,Reconnection
2024-09-08 오전 12:15:40,EV_Vibe13번,Opened
2024-09-08 오전 12:15:52,EV_Fiber13번,Connecting
2024-09-08 오전 12:15:52,TRY,Reconnection
2024-09-08 오전 12:15:52,EV_Vibe13번,Opened
2024-09-08 오전 12:16:04,EV_Fiber13번,Connecting
2024-09-08 오전 12:16:04,TRY,Reconnection
2024-09-08 오전 12:16:04,EV_Vibe13번,Opened
2024-09-08 오전 12:16:16,EV_Fiber13번,Connecting
2024-09-08 오전 12:16:16,TRY,Reconnection
2024-09-08 오전 12:16:16,EV_Vibe13번,Opened
2024-09-08 오전 12:16:28,EV_Fiber13번,Connecting
2024-09-08 오전 12:16:28,TRY,Reconnection
2024-09-08 오전 12:16:28,EV_Vibe13번,Opened
2024-09-08 오전 12:16:40,EV_Fiber13번,Connecting
2024-09-08 오전 12:16:40,TRY,Reconnection
2024-09-08 오전 12:16:40,EV_Vibe13번,Opened
2024-09-08 오전 12:16:52,EV_Fiber13번,Connecting
2024-09-08 오전 12:16:52,TRY,Reconnection
2024-09-08 오전 12:16:52,EV_Vibe13번,Opened
2024-09-08 오전 12:17:04,EV_Fiber13번,Connecting
2024-09-08 오전 12:17:04,TRY,Reconnection
2024-09-08 오전 12:17:04,EV_Vibe13번,Opened
